,Elong %,Hydrogen Ml/100gm,Moisture,YS(Kgf/mm2),UTS,Hardness,Ferrite (Fn),Hardness_Scale,V,C,Cr,Mn,Mo,Ni,P ,S ,Si ,Cb,UTS(Kg/mm2),Cu,Category,Elongation
62,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
63,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
64,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
65,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
66,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
67,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
68,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
69,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
70,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
71,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
72,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
73,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
74,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
75,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
76,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
77,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
78,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,,  6013 (REST),8.5
79,11.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,,  6013 (REST),11.0
80,11.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,,  6013 (REST),11.0
81,11.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,,  6013 (REST),11.0
82,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
83,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
84,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
85,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
86,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
87,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
88,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
89,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
90,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
91,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
92,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
93,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,,  6013 (REST),11.0
