,Elongation,Elongation_Temperature,Reduction of area,Reduction of area_Temperature,Ultimate tensile strength,Ultimate tensile strength_Temperature,Yield strength,Yield strength_Temperature,Acicular ferrite,Acicular ferrite_Temperature,Ferrite with carbide aggregate,Ferrite with carbide aggregate_Temperature,Ferrite with second phase,Ferrite with second phase_Temperature,Primary ferrite in microstructure,Primary ferrite in microstructure_Temperature,Martensite,Martensite_Temperature,Microstructure,50% FATT,50% FATT_Temperature,Hardness,Hardness_Temperature,Manual metal arc_Current,Manual metal arc_Electrode,Manual metal arc_Heat input,Manual metal arc_Interpass temperature,Manual metal arc_Source,Manual metal arc_Voltage,Post weld heat treatment_Post weld heat treatment temperature,Post weld heat treatment_Post weld heat treatment time,Flux cored arc_Current,Flux cored arc_Electrode,Flux cored arc_Heat input,Flux cored arc_Interpass temperature,Flux cored arc_Source,Flux cored arc_Voltage,Submerged arc_Current,Submerged arc_Electrode,Submerged arc_Heat input,Submerged arc_Interpass temperature,Submerged arc_Source,Submerged arc_Voltage,Gas tungsten arc automatic_Current,Gas tungsten arc automatic_Electrode,Gas tungsten arc automatic_Heat input,Gas tungsten arc automatic_Interpass temperature,Gas tungsten arc automatic_Source,Gas tungsten arc automatic_Voltage,Gas metal arc automatic_Current,Gas metal arc automatic_Electrode,Gas metal arc automatic_Heat input,Gas metal arc automatic_Interpass temperature,Gas metal arc automatic_Source,Gas metal arc automatic_Voltage,Tandem submerged Arc_Current,Tandem submerged Arc_Electrode,Tandem submerged Arc_Heat input,Tandem submerged Arc_Interpass temperature,Tandem submerged Arc_Source,Tandem submerged Arc_Voltage,extr,C,Fe,Mn,P,S,Si,Ni,Cu,Cr,Mo,V,W,Co
10,32.6,Room temperature,79.3,Room temperature,484.0,Room temperature,411.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.039,98.434,0.66,0.011000000000000001,0.006,0.32,0.53,,,,,,
11,34.2,Room temperature,80.6,Room temperature,475.0,Room temperature,401.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.039,98.434,0.66,0.011000000000000001,0.006,0.32,0.53,,,,,,
12,29.6,Room temperature,77.8,Room temperature,522.0,Room temperature,464.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.040999999999999995,98.112,1.01,0.011000000000000001,0.006,0.33,0.49,,,,,,
13,,,,,,,,,38.0,Room temperature,0.0,Room temperature,43.0,Room temperature,19.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.040999999999999995,98.112,1.01,0.011000000000000001,0.006,0.33,0.49,,,,,,
14,31.6,Room temperature,79.7,Room temperature,506.0,Room temperature,426.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.040999999999999995,98.112,1.01,0.011000000000000001,0.006,0.33,0.49,,,,,,
15,28.6,Room temperature,76.9,Room temperature,568.0,Room temperature,509.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.051,97.738,1.4,0.013999999999999999,0.006999999999999999,0.32,0.47,,,,,,
16,28.2,Room temperature,78.8,Room temperature,536.0,Room temperature,450.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.051,97.738,1.4,0.013999999999999999,0.006999999999999999,0.32,0.47,,,,,,
17,26.0,Room temperature,74.9,Room temperature,618.0,Room temperature,547.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049,97.241,1.85,0.013999999999999999,0.006,0.33,0.51,,,,,,
18,,,,,,,,,68.0,Room temperature,0.0,Room temperature,24.0,Room temperature,8.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049,97.241,1.85,0.013999999999999999,0.006,0.33,0.51,,,,,,
19,26.8,Room temperature,72.9,Room temperature,612.0,Room temperature,526.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049,97.241,1.85,0.013999999999999999,0.006,0.33,0.51,,,,,,
20,30.6,Room temperature,78.8,Room temperature,497.0,Room temperature,423.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.038,97.913,0.63,0.012,0.006999999999999999,0.31,1.09,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.038,97.913,0.63,0.012,0.006999999999999999,0.31,1.09,,,,,,
22,33.6,Room temperature,79.7,Room temperature,493.0,Room temperature,411.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.038,97.913,0.63,0.012,0.006999999999999999,0.31,1.09,,,,,,
23,29.6,Room temperature,77.9,Room temperature,541.0,Room temperature,475.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.043,97.508,1.0,0.013000000000000001,0.006,0.33,1.1,,,,,,
24,,,,,,,,,38.0,Room temperature,0.0,Room temperature,42.0,Room temperature,20.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.043,97.508,1.0,0.013000000000000001,0.006,0.33,1.1,,,,,,
25,31.8,Room temperature,77.8,Room temperature,521.0,Room temperature,443.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.043,97.508,1.0,0.013000000000000001,0.006,0.33,1.1,,,,,,
26,28.4,Room temperature,78.8,Room temperature,569.0,Room temperature,498.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049,97.151,1.37,0.013000000000000001,0.006999999999999999,0.35,1.06,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049,97.151,1.37,0.013000000000000001,0.006999999999999999,0.35,1.06,,,,,,
28,30.2,Room temperature,76.0,Room temperature,557.0,Room temperature,470.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049,97.151,1.37,0.013000000000000001,0.006999999999999999,0.35,1.06,,,,,,
29,26.4,Room temperature,76.0,Room temperature,641.0,Room temperature,566.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.053,96.688,1.83,0.012,0.006999999999999999,0.35,1.06,,,,,,
30,,,,,,,,,75.0,Room temperature,0.0,Room temperature,19.0,Room temperature,6.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.053,96.688,1.83,0.012,0.006999999999999999,0.35,1.06,,,,,,
31,26.0,Room temperature,74.0,Room temperature,612.0,Room temperature,521.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.053,96.688,1.83,0.012,0.006999999999999999,0.35,1.06,,,,,,
32,30.6,Room temperature,77.8,Room temperature,538.0,Room temperature,466.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.040999999999999995,96.642,0.62,0.01,0.006999999999999999,0.3,2.38,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.040999999999999995,96.642,0.62,0.01,0.006999999999999999,0.3,2.38,,,,,,
34,32.2,Room temperature,76.9,Room temperature,518.0,Room temperature,431.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.040999999999999995,96.642,0.62,0.01,0.006999999999999999,0.3,2.38,,,,,,
35,30.6,Room temperature,76.9,Room temperature,567.0,Room temperature,489.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.044000000000000004,96.287,0.96,0.013000000000000001,0.006,0.31,2.38,,,,,,
36,,,,,,,,,46.0,Room temperature,0.0,Room temperature,38.0,Room temperature,16.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.044000000000000004,96.287,0.96,0.013000000000000001,0.006,0.31,2.38,,,,,,
37,29.1,Room temperature,76.9,Room temperature,561.0,Room temperature,481.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.044000000000000004,96.287,0.96,0.013000000000000001,0.006,0.31,2.38,,,,,,
38,23.6,Room temperature,72.7,Room temperature,635.0,Room temperature,567.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049,95.88,1.41,0.013999999999999999,0.006999999999999999,0.32,2.32,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049,95.88,1.41,0.013999999999999999,0.006999999999999999,0.32,2.32,,,,,,
40,26.6,Room temperature,73.0,Room temperature,615.0,Room temperature,530.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049,95.88,1.41,0.013999999999999999,0.006999999999999999,0.32,2.32,,,,,,
41,23.5,Room temperature,73.9,Room temperature,684.0,Room temperature,621.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.046,95.472,1.81,0.015,0.006999999999999999,0.32,2.33,,,,,,
42,,,,,,,,,81.0,Room temperature,0.0,Room temperature,14.0,Room temperature,5.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.046,95.472,1.81,0.015,0.006999999999999999,0.32,2.33,,,,,,
43,26.4,Room temperature,70.7,Room temperature,665.0,Room temperature,574.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.046,95.472,1.81,0.015,0.006999999999999999,0.32,2.33,,,,,,
44,30.4,Room temperature,76.6,Room temperature,561.0,Room temperature,479.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.037000000000000005,95.493,0.65,0.011000000000000001,0.009000000000000001,0.3,3.5,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.037000000000000005,95.493,0.65,0.011000000000000001,0.009000000000000001,0.3,3.5,,,,,,
46,31.4,Room temperature,48.8,Room temperature,560.0,Room temperature,482.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.037000000000000005,95.493,0.65,0.011000000000000001,0.009000000000000001,0.3,3.5,,,,,,
47,27.6,Room temperature,76.0,Room temperature,605.0,Room temperature,525.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.040999999999999995,95.189,0.98,0.012,0.008,0.31,3.46,,,,,,
48,,,,,,,,,51.0,Room temperature,0.0,Room temperature,35.0,Room temperature,14.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.040999999999999995,95.189,0.98,0.012,0.008,0.31,3.46,,,,,,
49,28.4,Room temperature,74.0,Room temperature,599.0,Room temperature,521.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.040999999999999995,95.189,0.98,0.012,0.008,0.31,3.46,,,,,,
50,25.4,Room temperature,72.9,Room temperature,682.0,Room temperature,621.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.048,94.732,1.4,0.013000000000000001,0.006999999999999999,0.33,3.47,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.048,94.732,1.4,0.013000000000000001,0.006999999999999999,0.33,3.47,,,,,,
52,26.6,Room temperature,70.8,Room temperature,677.0,Room temperature,584.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.048,94.732,1.4,0.013000000000000001,0.006999999999999999,0.33,3.47,,,,,,
53,22.2,Room temperature,69.7,Room temperature,753.0,Room temperature,692.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.051,94.359,1.79,0.013000000000000001,0.006999999999999999,0.36,3.42,,,,,,
54,,,,,,,,,37.0,Room temperature,,,33.0,Room temperature,,,30.0,Room temperature,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.051,94.359,1.79,0.013000000000000001,0.006999999999999999,0.36,3.42,,,,,,
55,24.0,Room temperature,67.5,Room temperature,745.0,Room temperature,662.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.051,94.359,1.79,0.013000000000000001,0.006999999999999999,0.36,3.42,,,,,,
56,26.0,Room temperature,78.8,Room temperature,560.0,Room temperature,484.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,150.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.017,1.51,0.011000000000000001,0.008,0.36,,0.02,,,,,
57,31.2,Room temperature,77.0,Room temperature,563.0,Room temperature,471.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,150.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.017,1.51,0.011000000000000001,0.008,0.36,,0.02,,,,,
58,27.6,Room temperature,77.0,Room temperature,578.0,Room temperature,502.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,150.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.075,97.962,1.48,0.006,0.006999999999999999,0.36,,0.11,,,,,
59,29.8,Room temperature,77.9,Room temperature,548.0,Room temperature,462.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,150.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.075,97.962,1.48,0.006,0.006999999999999999,0.36,,0.11,,,,,
60,28.2,Room temperature,77.0,Room temperature,566.0,Room temperature,488.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,150.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,97.981,1.42,0.006999999999999999,0.008,0.32,,0.19,,,,,
61,31.2,Room temperature,78.8,Room temperature,549.0,Room temperature,453.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,150.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,97.981,1.42,0.006999999999999999,0.008,0.32,,0.19,,,,,
62,27.6,Room temperature,77.0,Room temperature,586.0,Room temperature,504.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,150.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,97.751,1.48,0.006,0.006999999999999999,0.33,,0.35,,,,,
63,28.2,Room temperature,77.9,Room temperature,572.0,Room temperature,482.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,150.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,97.751,1.48,0.006,0.006999999999999999,0.33,,0.35,,,,,
64,28.6,Room temperature,77.0,Room temperature,593.0,Room temperature,513.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,150.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.068,97.45,1.49,0.006,0.006,0.32,,0.66,,,,,
65,28.6,Room temperature,74.0,Room temperature,607.0,Room temperature,499.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,150.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.068,97.45,1.49,0.006,0.006,0.32,,0.66,,,,,
66,27.4,Room temperature,73.0,Room temperature,647.0,Room temperature,568.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,150.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,96.662,1.49,0.006,0.006,0.36,,1.4,,,,,
67,24.2,Room temperature,73.0,Room temperature,673.0,Room temperature,583.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,150.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,96.662,1.49,0.006,0.006,0.36,,1.4,,,,,
68,29.6,Room temperature,78.0,Room temperature,527.0,Room temperature,431.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.127,1.49,0.013000000000000001,0.006,0.29,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.127,1.49,0.013000000000000001,0.006,0.29,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.127,1.49,0.013000000000000001,0.006,0.29,,,,,,,
71,,,,,,,,,9.0,Room temperature,0.0,Room temperature,57.0,Room temperature,34.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07400000000000001,98.127,1.49,0.013000000000000001,0.006,0.29,,,,,,,
72,27.6,Room temperature,72.9,Room temperature,542.0,Room temperature,444.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.081,98.18,1.43,0.013000000000000001,0.006,0.29,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.081,98.18,1.43,0.013000000000000001,0.006,0.29,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.081,98.18,1.43,0.013000000000000001,0.006,0.29,,,,,,,
75,,,,,,,,,9.0,Room temperature,0.0,Room temperature,46.0,Room temperature,45.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.081,98.18,1.43,0.013000000000000001,0.006,0.29,,,,,,,
76,24.6,Room temperature,78.9,Room temperature,527.0,Room temperature,437.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,98.208,1.36,0.011000000000000001,0.005,0.34,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,98.208,1.36,0.011000000000000001,0.005,0.34,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,98.208,1.36,0.011000000000000001,0.005,0.34,,,,,,,
79,,,,,,,,,13.0,Room temperature,0.0,Room temperature,47.0,Room temperature,40.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.076,98.208,1.36,0.011000000000000001,0.005,0.34,,,,,,,
80,25.2,Room temperature,78.9,Room temperature,538.0,Room temperature,437.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.079,98.145,1.37,0.011000000000000001,0.005,0.39,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.079,98.145,1.37,0.011000000000000001,0.005,0.39,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.079,98.145,1.37,0.011000000000000001,0.005,0.39,,,,,,,
83,,,,,,,,,21.0,Room temperature,0.0,Room temperature,44.0,Room temperature,35.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.079,98.145,1.37,0.011000000000000001,0.005,0.39,,,,,,,
84,24.4,Room temperature,77.0,Room temperature,545.0,Room temperature,469.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.078,98.06700000000001,1.4,0.011000000000000001,0.004,0.44,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.078,98.06700000000001,1.4,0.011000000000000001,0.004,0.44,,,,,,,
