,Category,Charpy,DIN_W,Elongation,HT_Temp,Hardness_Scale,IE-20,Manual metal arc_Heat input,Manual metal arc_Interpass temperature,Redry_Time,Reduction of area,Rp0,Tensile,Ultimate tensile strength,Yield,Yield strength,Ag,Al,B,Be,C,Co,Cr,Cu,Fe,Mg,Mn,Mo,N,Nb,Ni,P,Rm,S,Si,Sn,Ti,V,W,Zn,Zr
1020,0.0,0.0,0.0,24.6,0.0,0.0,0.0,1.0,200.0,0.0,78.9,0.0,0.0,527.0,0.0,437.0,,,,,0.076,,,,98.208,,1.3599999999999999,,,,,0.011,,0.005,0.34,,,,,,
1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.076,,,,98.208,,1.3599999999999999,,,,,0.011,,0.005,0.34,,,,,,
1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.076,,,,98.208,,1.3599999999999999,,,,,0.011,,0.005,0.34,,,,,,
1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.076,,,,98.208,,1.3599999999999999,,,,,0.011,,0.005,0.34,,,,,,
1024,0.0,0.0,0.0,25.2,0.0,0.0,0.0,1.0,200.0,0.0,78.9,0.0,0.0,538.0,0.0,437.0,,,,,0.079,,,,98.145,,1.37,,,,,0.011,,0.005,0.39,,,,,,
1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.079,,,,98.145,,1.37,,,,,0.011,,0.005,0.39,,,,,,
1026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.079,,,,98.145,,1.37,,,,,0.011,,0.005,0.39,,,,,,
1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.079,,,,98.145,,1.37,,,,,0.011,,0.005,0.39,,,,,,
1028,0.0,0.0,0.0,24.4,0.0,0.0,0.0,1.0,200.0,0.0,77.0,0.0,0.0,545.0,0.0,469.0,,,,,0.078,,,,98.067,,1.4,,,,,0.011,,0.004,0.44,,,,,,
1029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.078,,,,98.067,,1.4,,,,,0.011,,0.004,0.44,,,,,,
103,0.0,20.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,460.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.078,,,,98.067,,1.4,,,,,0.011,,0.004,0.44,,,,,,
1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.078,,,,98.067,,1.4,,,,,0.011,,0.004,0.44,,,,,,
1032,0.0,0.0,0.0,26.2,0.0,0.0,0.0,1.0,200.0,0.0,78.9,0.0,0.0,551.0,0.0,466.0,,,,,0.081,,,,98.009,,1.42,,,,,0.006,,0.004,0.48,,,,,,
1033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.081,,,,98.009,,1.42,,,,,0.006,,0.004,0.48,,,,,,
1034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.081,,,,98.009,,1.42,,,,,0.006,,0.004,0.48,,,,,,
1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.081,,,,98.009,,1.42,,,,,0.006,,0.004,0.48,,,,,,
1036,0.0,0.0,0.0,32.6,0.0,0.0,0.0,1.0,200.0,0.0,80.7,0.0,0.0,529.0,0.0,468.0,,,,,0.069,,,,98.255,,1.3599999999999999,,,,,0.009000000000000001,,0.007,0.30000000000000004,,,,,,
1037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.069,,,,98.255,,1.3599999999999999,,,,,0.009000000000000001,,0.007,0.30000000000000004,,,,,,
1038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.069,,,,98.255,,1.3599999999999999,,,,,0.009000000000000001,,0.007,0.30000000000000004,,,,,,
1039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.069,,,,98.255,,1.3599999999999999,,,,,0.009000000000000001,,0.007,0.30000000000000004,,,,,,
104,0.0,104.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,0.0,492.5,0.0,,,,,,,0.30000000000000004,,,,1.0,0.2,,,0.5,0.03,,0.03,0.8,,,0.1,,,
1040,0.0,0.0,0.0,31.2,0.0,0.0,0.0,1.0,200.0,0.0,80.7,0.0,0.0,540.0,0.0,478.0,,,,,0.08,,,,98.165,,1.4100000000000001,,,,,0.009000000000000001,,0.006,0.33,,,,,,
1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.08,,,,98.165,,1.4100000000000001,,,,,0.009000000000000001,,0.006,0.33,,,,,,
1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.08,,,,98.165,,1.4100000000000001,,,,,0.009000000000000001,,0.006,0.33,,,,,,
1043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.08,,,,98.165,,1.4100000000000001,,,,,0.009000000000000001,,0.006,0.33,,,,,,
1044,0.0,0.0,0.0,31.4,0.0,0.0,0.0,1.0,200.0,0.0,79.8,0.0,0.0,549.0,0.0,485.0,,,,,0.076,,,,98.18,,1.3599999999999999,,,,,0.009000000000000001,,0.005,0.37,,,,,,
1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.076,,,,98.18,,1.3599999999999999,,,,,0.009000000000000001,,0.005,0.37,,,,,,
1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.076,,,,98.18,,1.3599999999999999,,,,,0.009000000000000001,,0.005,0.37,,,,,,
1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.076,,,,98.18,,1.3599999999999999,,,,,0.009000000000000001,,0.005,0.37,,,,,,
1048,0.0,0.0,0.0,28.2,0.0,0.0,0.0,1.0,200.0,0.0,78.9,0.0,0.0,564.0,0.0,491.0,,,,,0.078,,,,98.159,,1.31,,,,,0.008,,0.005,0.44,,,,,,
1049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.078,,,,98.159,,1.31,,,,,0.008,,0.005,0.44,,,,,,
105,0.0,27.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,510.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.078,,,,98.159,,1.31,,,,,0.008,,0.005,0.44,,,,,,
1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.078,,,,98.159,,1.31,,,,,0.008,,0.005,0.44,,,,,,
1052,0.0,0.0,0.0,25.2,0.0,0.0,0.0,1.0,200.0,0.0,78.9,0.0,0.0,560.0,0.0,485.0,,,,,0.076,,,,98.101,,1.3,,,,,0.008,,0.005,0.51,,,,,,
1053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.076,,,,98.101,,1.3,,,,,0.008,,0.005,0.51,,,,,,
1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.076,,,,98.101,,1.3,,,,,0.008,,0.005,0.51,,,,,,
1055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.076,,,,98.101,,1.3,,,,,0.008,,0.005,0.51,,,,,,
1056,0.0,0.0,0.0,29.2,0.0,0.0,0.0,1.0,200.0,0.0,77.0,0.0,0.0,570.0,0.0,491.0,,,,,0.079,,,,98.019,,1.32,,,,,0.008,,0.004,0.5700000000000001,,,,,,
1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.079,,,,98.019,,1.32,,,,,0.008,,0.004,0.5700000000000001,,,,,,
1058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.079,,,,98.019,,1.32,,,,,0.008,,0.004,0.5700000000000001,,,,,,
1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.079,,,,98.019,,1.32,,,,,0.008,,0.004,0.5700000000000001,,,,,,
106,0.0,122.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.5,0.0,547.5,0.0,,,,,,,0.30000000000000004,0.2,,,1.0,0.2,,,,0.03,,,0.8,,,0.1,,,
1060,0.0,0.0,0.0,29.4,0.0,0.0,0.0,1.0,200.0,0.0,79.8,0.0,0.0,547.0,0.0,484.0,,,,,0.074,,,,98.094,,1.5,,,,,0.006,,0.006,0.32,,,,,,
1061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.074,,,,98.094,,1.5,,,,,0.006,,0.006,0.32,,,,,,
1062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.074,,,,98.094,,1.5,,,,,0.006,,0.006,0.32,,,,,,
1063,0.0,0.0,0.0,32.2,0.0,0.0,0.0,1.0,200.0,0.0,81.6,0.0,0.0,514.0,0.0,442.0,,,,,0.074,,,,98.233,,1.4100000000000001,,,,,0.006,,0.007,0.27,,,,,,
1064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.074,,,,98.233,,1.4100000000000001,,,,,0.006,,0.007,0.27,,,,,,
1065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.074,,,,98.233,,1.4100000000000001,,,,,0.006,,0.007,0.27,,,,,,
1066,0.0,0.0,0.0,30.6,0.0,0.0,0.0,1.0,200.0,0.0,81.4,0.0,0.0,545.0,0.0,481.0,,,,,0.07100000000000001,,,,98.165,,1.3599999999999999,,,,,0.009000000000000001,,0.005,0.39,,,,,,
1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.07100000000000001,,,,98.165,,1.3599999999999999,,,,,0.009000000000000001,,0.005,0.39,,,,,,
1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.07100000000000001,,,,98.165,,1.3599999999999999,,,,,0.009000000000000001,,0.005,0.39,,,,,,
1069,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,200.0,0.0,80.7,0.0,0.0,540.0,0.0,474.0,,,,,0.069,,,,98.108,,1.3599999999999999,,,,,0.008,,0.005,0.45,,,,,,
107,0.0,122.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.5,0.0,547.5,0.0,,,,,0.05,,0.05,0.02,,,1.35,0.28,,,,0.015,,,0.51,,,0.01,,,
1070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.069,,,,98.108,,1.3599999999999999,,,,,0.008,,0.005,0.45,,,,,,
1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.069,,,,98.108,,1.3599999999999999,,,,,0.008,,0.005,0.45,,,,,,
1072,0.0,0.0,0.0,27.2,0.0,0.0,0.0,1.0,200.0,0.0,77.0,0.0,0.0,533.0,0.0,466.0,,,,,0.069,,,,98.019,,1.3900000000000001,,,,,0.008,,0.004,0.51,,,,,,
1073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.069,,,,98.019,,1.3900000000000001,,,,,0.008,,0.004,0.51,,,,,,
1074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.069,,,,98.019,,1.3900000000000001,,,,,0.008,,0.004,0.51,,,,,,
1075,0.0,0.0,0.0,26.6,0.0,0.0,0.0,1.0,200.0,0.0,78.0,0.0,0.0,555.0,0.0,486.0,,,,,0.07200000000000001,,,,97.946,,1.4,,,,,0.008,,0.004,0.5700000000000001,,,,,,
1076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.07200000000000001,,,,97.946,,1.4,,,,,0.008,,0.004,0.5700000000000001,,,,,,
1077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.07200000000000001,,,,97.946,,1.4,,,,,0.008,,0.004,0.5700000000000001,,,,,,
1078,0.0,0.0,0.0,26.6,0.0,0.0,0.0,1.0,200.0,0.0,78.9,0.0,0.0,555.0,0.0,502.0,,,,,0.081,,,,98.024,,1.54,,,,,0.008,,0.007,0.34,,,,,,
1079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.081,,,,98.024,,1.54,,,,,0.008,,0.007,0.34,,,,,,
108,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,0.0,530.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.081,,,,98.024,,1.54,,,,,0.008,,0.007,0.34,,,,,,
1081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.081,,,,98.024,,1.54,,,,,0.008,,0.007,0.34,,,,,,
1082,0.0,0.0,0.0,30.7,0.0,0.0,0.0,1.0,200.0,0.0,78.9,0.0,0.0,535.0,0.0,452.0,,,,,0.07200000000000001,,,,98.354,,1.32,,,,,0.008,,0.006,0.24,,,,,,
1083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.07200000000000001,,,,98.354,,1.32,,,,,0.008,,0.006,0.24,,,,,,
1084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.07200000000000001,,,,98.354,,1.32,,,,,0.008,,0.006,0.24,,,,,,
1085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.07200000000000001,,,,98.354,,1.32,,,,,0.008,,0.006,0.24,,,,,,
1086,0.0,0.0,0.0,29.2,0.0,0.0,0.0,1.0,200.0,0.0,77.0,0.0,0.0,522.0,0.0,467.0,,,,,0.07200000000000001,,,,98.244,,1.33,,,,,0.008,,0.006,0.34,,,,,,
1087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.07200000000000001,,,,98.244,,1.33,,,,,0.008,,0.006,0.34,,,,,,
1088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.07200000000000001,,,,98.244,,1.33,,,,,0.008,,0.006,0.34,,,,,,
1089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.07200000000000001,,,,98.244,,1.33,,,,,0.008,,0.006,0.34,,,,,,
109,0.0,64.5,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,0.0,600.0,0.0,,,,,0.2,,0.30000000000000004,,,,1.2,0.5,,,1.0,0.03,,,0.6000000000000001,,,0.5,,,
