,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
265,rem,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,0.8,
266,56-60,0.01-0.50,,0.04-0.15,,,,,,,,,0.25-1.20,,,,,,,,Rem,,,,,0.80-1.10,
267,57-61,,,,,,,,,,,,,,,,,,,,rem,,,,,0.25-1.0,
268,57-61,,,,,,,,,,,,,,,,,,,,rem,,,,,0.25-1.0,
269,,1.0,,1.0,2.5,32.0,,2.5,,,,,2.5,,,13.0,,,,bal,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,1.2,1.75,29,,2.5,,,,,2.5,,,9,,,,Rem,,,,,,,
272,,,,1.5,1.4,29,,,,,,,2.0,,,8,,,,Rem,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,1.0,1.8,29.0,,2.5,,,,,2.5,,,8.8,,,,Base,,,,,,,
275,,,,,2.3,32,,,,,,,,,,13,,,,rest,,,,,,,
276,,1.0,,1.25,0.27,28,5.0,1.5-4.0,,,,,3.5,,,,,,,Bal.,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,1.5,,0.4,0.1,20,1,10,,,,,3,,,15,,,,Bal. (51),,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,0.6,,0.6,0.15,14,2.3,,,,,,Bal.,,,,,,,13,,,,,,,
282,,1,,28,4.5,,,,,,,,,,,,,,,,,,,,,,
283,,0.6,,1.0,1.1,28.0,,,,,,, 3.0,,,4.5,,,,basis,,,,,,,
284,,1.00,,1.00,0.12-0.15,26.5-30.00,4.50-7.00,1.00,,0.01,,0.20,1.00,,0.10,0.20,,,,Bal.,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,1.2,1.1,28,,,,,,,2,,,5,,,,Rem,,,,,,,
287,,0.6,,1.0,1.1,28,,,,,,,,,,4.5,,,,Bal.,,,,,,,
288,,,,,3.5-4.2,28-32,,,,,,,Rem,,,,,,,,,,,,,,
289,,0.4,,1.7,0.6,9,,,,,,,,,,,,,,,,,,,,,
290,,,3,,4-5,30-34,,,,,,,rem,,,,,,,,,,,,,,
291,,,,,5.5-6.0,22-26,,,,,,,rem,5-7,,,,,,,,,,,,,
292,,,,,4.0-6.0,22.0-25.0,5.0-7.0,,,,0.8-1.2,,,5.0-7.0,,1.8-2.2,,,,,,,,,,,
293,,,,2,4,28,,,,,,,,,,,,,,,,,,,,,
294,,0.6,,,1.1,28.0,,,,,,,2.5,,,4.5,,,,basis,,,,,,,
295,,,,,,,,,,,,,rest,4,,,,,,,,,,,,,
296,,,,,4.0,25.0,2.0,,,,0.6,,,,,,,1.75,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,48,,,,,,,10,,,,,,,,,,,,,42,,,,,,
299,,1.0-1.5,,,0.1-0.15,2.5-3.0,,,,,,,rem,,,,,,,,,,,,,,
300,,1.0,,,0.15,2.5-3.5,,,,,,,rem,,,,,,,,,,,,,,
301,,0.6,,0.4,0.1,6-7,3.0-3.5,,,,,,,,,,,,,,,,,,,,
302,,1.0,,,0.15,2.5-3.5,,,,,,,rem,,,,,,,,,,,,,,
303,,0.5-0.7,,,0.5-0.8,7-10,0.5-1.0,,,,1.0-1.2,,rem,,,,,,,,,,,,,,
304,,,,,0.6,8.7,0.5,,,,1.4,,Rest,,,,,,,,,,,,,,
305,,12-14,,, 0.8,,, 3,,,,,bal,,,,,,,,,,,,,,
306,,16-18,,,0.5-0.6,13-15,,,,,,,bal,,,,,,,,,,,,,,
307,,,,1.5-2.5,1.5-2.5,Rem.,,40% Matrix,,,,,0.6,,,0.6,,8-10,,60% Rem.,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,1.50,,,0.8-1.0,4.0-5.0,7-9,,,,1.2-1.8,,Rem,,,1.5-2.5,,,,,,,,,,,
313,,,,,5.5,,,,,,,,0.5,,0.5,Rem,,,,6-10,,,,,,,
314,, 0.7,,, 0.1,13,0.75,4,,,,,Rest,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,, 99.5,,,,,,,,
316,0.5,2.0,,0.2,0.02,1.3-3.0,27.0-32.0,Bal.,0.04,0.03,,,1.0-3.0,,,3.0,,,,3.0,,,,,,,
317,,0.40,,0.14,0.012,15.50,16.10,59.10,0.012,0.004,,,5.50,,,3.25,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,0.1,1.2,,0.3,,,,,,,,,0.35,,,,,,rem,,0.05,,0.2,,,,
320,0.23,0.04,,11.80,,,,,,,,,0.80,,,,,,bal,,0.08,,0.04,,,,
321,0.23,0.04,,5.25,,,,,,,,,0.80,,0.20,,,,Rem,,0.08,,0.04,0.0008,,,
322,0.40,1.0,,0.50,0.06,,,0.70,,,,,,,,,,,,,,,,,,,
323,,0.90,,0.60,0.06,5.2,0.50,,,,,,,,,,,,,,,,,,,,
324,89,1,,,,,,,,,,,0.70,,,,,,8,,,,,,,,
325,rem,2.7,,0.25,,,,,,,,,0.10,,,,,,,,,,,,,0.7,
326,Rem,12-13,,0.4,,,,2-3,,,,,,,,,,,7-9,,,,,,,,
327,Rem,1.0-2.5,,0.5,0.05,,,,0.020,0.015,,,0.4-0.75,,0.5,,,,,,,,,,,,29
328, 0.50,0.30-2.50, 0.50, 0.75,0.05-0.15,21.0-26.0,8.0-10.0,bal, 0.03, 0.015,,, 5.0,,,, 1.0,,,9.0-15.0,,,,,,,
329,,0.35,,,0.014,21.20,13.10,base,0.012,0.005,,,3.90,,,3.3,,,,,,,,,,,
330,0.35,0.8,,0.18,0.01,22,16,Rem,0.01,0.01,,,4,,,3.8,,,,,,,,,,,
331,,,,,0.6,19-30,8-11,Rem,,,,,,2-4,,,,,,,,,,,,,
332,1.5-2,2-2.5,, 0.4, 0.03,23-25,4-5,rem,,,,,20-22,,,,,,,,,,,,,,
333, 0.50,1-3.5, 0.50, 0.75, 0.10,13.0-17.0,0.5-2.5,, 0.030,0.015,,, 12.0,,,,0.5-3.0,,,,,,,,,, 62
334,,4-6,,,0.03-0.06,18-21,,Rem,,,,,3-5,2.0-2.8,,,,,,,,,,,,,
335,Rem,4.0,,1.0,0.15,,,,,,,,2.5,,1.0,,,,0.75,,,,,,,,62.0-68.0
336, 0.25, 0.75,, 1.25, 0.10,,,, 0.03, 0.02,,, 0.75,,1.0-4.0,,,, 1.0,,,,,,,,
337,,1.60,,0.6,0.08,0.30,0.30,1.50,,,0.10,,,,,,,,,,,,,,,,
338,,1.60,,0.6,0.08,0.30,0.30,1.50,,,0.10,,,,,,,,,,,,,,,,
339,0.30,1.6-1.8,,0.6-0.8,0.08-0.10,0.55-0.65,0.25-0.3,0.5-0.6,0.015,0.015,0.03,,,,,,,,,,,,,,,,
340,,1.60,,0.45,0.07,0.30,0.40,2.10,,,,,,,,,,,,,,,,,,,
341,,1.60,,0.45,0.07,0.30,0.40,2.10,,,,,,,,,,,,,,,,,,,
342,0.25,1.4-1.8,,0.25-0.60,0.1,0.6,0.30-0.65 ,2.0-2.8,,,,,,,0.10,,,,0.10,,,0.10,,,,,
343,0.25,1.4-1.8,,0.25-0.60,0.1,0.6,0.30-0.65 ,2.0-2.8,,,,,,,0.10,,,,0.10,,,0.10,,,,,
344,3.5,0.55,,0.45,0.03,16.7,0.2,4.7,,,,,,0.24,,,,,,,,,,,,,
345,3.5,0.55,,0.45,0.03,16.7,0.2,4.7,,,,,,0.24,,,,,,,,,,,,,
346,0.15,0.55,,0.48,0.04,1.35,0.55,,,,,,,,,,,,,,,,,,,,
347,0.20,0.55,,0.55,0.09,1.35,0.50,,,,,,,,,,,,,,,,,,,,
348,,0.55,,0.55,0.09,1.35,0.50,,,,,,,,,,,,,,,,,,,,
349,0.12,0.50,,0.40,0.07,9.00,1.0,,0.008,0.008,,,,,,,,,,,,,,,,,
350,0.12,1.8,,0.7,0.08,,0.5,,0.010,0.010,,,,,,,,,,,,,,,,,
351,,0.45,,0.40,0.1,8.80,0.42,0.50,,,0.20,,,0.05,,1.60,,,,,,,,,,,
352,,0.45,,0.40,0.1,8.80,0.42,0.50,,,0.20,,,0.05,,1.60,,,,,,,,,,,
353,0.35,0.55,0.50,0.55,0.09,2.50,1.10,0.20,0.025,0.025,,,,,,,,,,,,,,,,,
354,0.35,0.55,0.50,0.55,0.09,2.50,1.10,0.20,0.025,0.025,,,,,,,,,,,,,,,,,
355,0.10,0.80, 0.50,0.32,0.1,9.0,1.0,0.6,0.008,0.008,0.2,,,,,,,,0.02,,,,,,,,
356,0.10,0.80, 0.50,0.32,0.1,9.0,1.0,0.6,0.008,0.008,0.2,,,,,,,,0.02,,,,,,,,
357,,,,, 0.08,,,,,,, 0.05, 0.25,,rem,,,,,,,,,,,,
358,,,,,0.03,,,,,,,0.012,0.08,,,,,,,,,,,,,,
359,,,,,0.03,,,,,,0.6-0.9,0.015,0.15,,,,,,0.2-0.4,,,,,,,,
360,,,,, 0.08,,,,,,, 0.05, 0.25,,rem,,,,,,,,,,,,
361,,,,,0.05,,,,,,3.5-4.5,0.03,0.22,,,,,,5.5-6.7,,,,,,,,
362,,,,,0.03,,,,,,,0.015,0.12,,,,,,,,,,,,,,
363,,53,,,,,,,,,,,43,,,,,,,,,,,,,,
364,,,,,,,,,0.015,0.015,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,0.3,0.6-1.0,,0.1-0.5,0.03-0.06,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,0.05,1.6,,0.7,0.025,21,SA 308H,10.0,,,,0.75,,1.6,,,,,,,,,,,,,
372,,2.05,,0.37,0.022,19.91,0.031,10.62,,,,,,0.52,,,,,,,,,,,,,
373,21.5-23.5,1.0-1.5,,0.4-0.7,0.03,18.5-20.0,SA 2209,9.0-10.0,,,,0.4-0.7,1.2-1.7,0.03,,,,,,,,,,,,,
374,,0.5,,0.5,0.04,20.0-22.50,8.5-9.5,Rem,,,,,5.0,3.0-3.5,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,0.11,,,,21.74,8.63,64.87,,,,,0.36,3.63,,,,,,,,,,,,,
377,,1.6,,1.0,0.03,18.5-20.5,SA 347,9-11,,,1.6,1.0,,0.06,,18.5-20.5,,,,,,,,,,,
378,,,,,,,,,0.024,0.024,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,0.015,0.015,,,,,,,,,,,,,,,,,
382,,1.75,,0.9,0.09,,,,,0.025,,,,,,,,,,,,,,,,,
383,,0.50,, 0.20, 0.10,,,,,,,,,,,,,,,,,,,,,,
384,,1.0,,0.08,0.10,,,,,,,,,,,,,,,,,,,,,,
385,,1.1,,0.1,0.09,,,0.4,,,,,,,,,,,,,,,,,,,
386,,1.0,,0.20,0.11,,0.50,,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,0.6,,3.7,3.2,,,0.6,,,,,,,,,,,,,,,,,,,
389,,0.7,,0.1,0.2,,,,,,,,rem,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,,,,,,,
392, 0.50, 1.0,0.50, 0.75,0.10,20.0-23.0,8.0-10.0,, 0.03, 0.02,,, 7.0,,,,3.15+4.15,,,,,,,,,, 55.0
393, 0.50,5.0-9.5, 0.50, 1.0, 0.10,13.0-17.0,, 59.0, 0.030,0.015,,, 10.0,1.0-2.5, 1.0,,,,,,,,,,,,
394,rem,,,,,,,,4.8-5.2,,,,,,,,,,,,,,,,14.5-15.5,,
395,75,,,,,,,,7,,,,,,,,,,,,,,,,18,,
396,rem,,,,,,,,6.0-6.7,,,,,,,,,,,,,,,,17.2-18.0,,
397,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,38,9.5,,,,,,5.5,,,,,,,,,,,,,20,,,,27,,
400,92,,,,,,,,6,,,,,,,,,,,,,,,,2,,
401,36,,,,,,,,,,,,,,,,,,,,32,,,,30,2,
402,36,,,0.15,,,,,,,,,,,,,,,,,27.5,,,,34,2.5,
403,30,,,,,,,,,,,,,,,,,,,,28,,,,40,2,
404,27,,,,,,,,,,,,,,,,,,,,25,,,,45,3,
405,16,7.5,,,,,,4.5,,,,,,,,,,,,,23,,,,49,,
406,22,,,,,,,,,,,,,,,,,,,,17,,,,55,5,
407,89,,,0.02,,,,,6,,,,,,,,,,,,,,,,5,,
408,23,,,,,,,,,,,,,,,,,,,,14,,,,60,3,
409,rest,,,,,,,,7,,,,,,,,,,,,,,,,,,
410,Rest,,,,,,,,7,,,,,,,,,,,,,,,,,,
411,86,,,,,,,,7,,,,,,,,,,,,,,,,,7,
412,,0.90,,0.70,0.07,6.00,0.90,,,,,,,,,,,,,,,,,,,,
413,,0.9,,0.4,0.35,16-19,,,,,,,,,,,,,,,,,,,,,
414,,0.9,,0.4,0.35,16-19,,,,,,,,,,,,,,,,,,,,,
415,,1.90,,0.35,1.10,1.80,,,,,,,,,,,,,,,,,,,,,
416,,0.50,,3.00,0.50,9.15,,,,,,,,,,,,,,,,,,,,,
417,,0.50,,3.00,0.50,9.15,,,,,,,,,,,,,,,,,,,,,
418,,0.50,,3.00,0.50,9.15,,,,,,,,,,,,,,,,,,,,,
419,,0.50,,3.00,0.50,9.15,,,,,,,,,,,,,,,,,,,,,
420,,, 5,,0.38,17,0.8,,,,,,,,,,,,,,,,,,,,
421,,0.4,,1.1,0.35,5.2,1.4,,,,0.4,,,,,1.3,,,,,,,,,,,
422,,0.5,,1.0,0.4,6.0,1.0,1.6,,,,,,,,,,,,,,,,,,,
423,,0.30,,0.30,1.00,4.00,8.30,,,,1.90,,,,,1.80,,,,,,,,,,,
424,,0.45,,0.95,0.38,5.2,1.10,,,,0.45,,,,,,,,,,,,,,,,
425,,0.45,,0.95,0.38,5.2,1.10,,,,0.45,,,,,,,,,,,,,,,,
426,,0.60,,0.30,0.25,5.0,3.60,,,,,,,,0.60,,,,,,,,,,,,
427,,0.60,,0.30,0.25,5.20,3.8,,,,,,,,0.60,,,,,,,,,,,,
428,0.05,0.15-0.5,0.3,0.05,,,,0.005,,,,,0.005,,,,,,8.3-9.7,,1.7-2.3,,Rem,0.0002-0.0008,,,
429,,1.3,,0.5,0.05,,,0.9,0.015,0.015,,,,,,,,,,,,,,,,,
430,,,,,98,,,,,,,,,,,,,,,,,,,,,,
431,,,,,98,,,,,,,,,,,,,,,,,,,,,,
432,,12,,0.08,0.25,,,42,,,,,45,,,,,,0.3,,,,,,,,
433, 0.25, 0.35,, 0.35, 0.15,,,,, 0.01,,, 0.4,,,,,,,,,,,,,, 99.0
434, 0.25, 0.35,, 0.35, 0.15,,,,, 0.01,,, 0.4,,,,,,,,,,,,,, 99.0
435,,,,4.25,0.7,16.0,,Rem.,,,,,4.0,,,,,3.00,,,,,,,,,
436,,,,1.0,0.15,20-24,8-10,Rem,,,,,3.0,,0.6,,,,,10-15,,,,,,,
437,,,,1.0,0.15,20-24,8-10,Rem,,,,,3.0,,0.6,,,,,10-15,,,,,,,
438,,,,,0.01,23,16,rem,,,,,1,,,,,,,,,,,,,,
439,,,,,0.01,23,16,rem,,,,,1,,,,,,,,,,,,,,
440,0.1,0.2,,0.03,0.003,21,13.5,56,,,0.15,,4,,,3,,,,1.5,,,,,,,
441,0.1,0.2,,0.03,0.003,21,13.5,56,,,0.15,,4,,,3,,,,1.5,,,,,,,
442,,1.0,,0.08,0.01,19-23,15-17,,,,,,5,,0.25,3.0-4.4,,,0.5,,,,,,,,Rem
443,,1.0,,0.08,0.01,19-23,15-17,,,,,,5,,0.25,3.0-4.4,,,0.5,,,,,,,,Rem
444, 0.3, 1.0,, 0.5, 0.04,28-31.5,, 58,, 0.015,,0.014,7-11,,1.0,,,,1.10,  0.12,,,,,,,
445, 0.5, 1.0,, 0.5, 0.05,27-31,, 58,, 0.015,,0.014,7-11,,1.0,,,,1.10,  0.12,,,,,,,
446, 0.30, 1.0,, 0.5, 0.04,28-31.5,,Rem,, 0.015,,0.014,7-11,,1.0,,,0.005,1.10,  0.12,,0.02,,,,,
447, 0.5,2.5-3.5,, 0.5, 0.10,18-22,, 67, 0.03, 0.015,,,  3.0,, 0.75,,2.0-3.0,,,  0.12,,,,,,,
448, 0.5,2.5-3.5,, 0.5, 0.10,18-22,, 67, 0.03, 0.015,,,  3.0,, 0.75,,2.0-3.0,,,  0.12,,,,,,,
449,0.10,1.0,,0.27,0.10,21-25,,58-63,0.03,0.015,,,rem,,,,,,1.0-1.7,,,,,,,,
450,0.10,0.50,,0.50,0.15-0.25,24.0-26.0,,Rem,0.020,0.010,,,8.0-11.0,,0.10-0.20,,,,1.80-2.40,1.0,,0.01-0.10,,,,,
451,,0.07,,0.04,0.17,25,,61,,,,,9.7,,0.14,,,,2.3,,,0.09,,,,,
452,,0.02,,0.2,0.02,22.19,8.0-10.0,Rem,,,,,0.7,,0.162,,3.65,,,,,,,,,,
453,,0.02,,0.2,0.02,22.00,8.0-10.0,Rem,,,,,0.7,,0.15,,3.5,,,,,,,,,,
454,0.05,0.1,,0.15,0.07,17.5,3,52,0.008,0.001,,,Rem,,0.9,,5,0.005,0.4,0.05,,,,,,,
455,0.05,0.1,,0.15,0.07,17.5,3,52,0.008,0.001,,,Rem,,0.9,,5,0.005,0.4,0.05,,,,,,,
456,,0.50,,0.30,,36-39,0.50,55,,,,,1.0,,,,0.25-1.0,,0.75-1.20,1.0,,,,,,,
457,0.2,0.1,,0.1,0.01,36-39,,55,,0.008,,,0.2,,0.6,,,,,,,,,,,,
458,0.5,2.0-2.7,,0.35,0.08,14-17,,,,,,,8,,2.5-3.5,,,,,,,,,,,,67
459,0.3,1.0,,0.5,0.15,27-31,,Rem,,,,,2.5-6.0,,0.50.39,,0.5-2.5,,2.5-4.0,,,,,,,,
460,base, 4.0,, 1.25, 0.15,,,62-69,,,,, 2.5,,1.50-3.0,,,,,,,,,,,,
461,base, 4.0,, 1.25, 0.15,,,62-69,,,,, 2.5,,1.50-3.0,,,,,,,,,,,,
462,,54,,,,,,,,,,,42,,,,,,,,,,,,,,
463,,11,,,1.5,,,44,,,,,45,,,,,,,,,,,,,,
464,,,,,1.5,,,55,,,,,rest,,,,,,,,,,,,,,
465,0.4,0.7,,0.1,0.03,,,55,,,,,Rest,,,,,,,,,,,,,,
466,0.40,0.5-1.5,,0.20,0.10,,,60,,,,,Rem,,,,,,,,,,,,,,
467,0.6,1.1,,1.2,1.1,,,54,,,,,43,,,,,,,,,,,,,,
468,,0.4,,36,0.2,62,,1.6,,,,,,,,,,,,,,,,,,,
469, 0.25, 1.0,, 0.75, 0.15,,,, 0.030, 0.015,,, 1.0,,2.0-3.5,,,, 1.5,,,,,,,, 93.0
470, 0.25, 1.0,, 0.75, 0.15,,,, 0.030, 0.015,,, 1.0,,2.0-3.5,,,, 1.5,,,,,,,, 93.0
471,,2.0,,0.5,0.12,1.50,0.4,,,,,,,,,,,,,,,,,,,,
472,,1.50,,0.40,0.12,1.20,0.40,2.40,,,,,,,,,,,,,,,,,,,
473,,1.3-1.7,,0.35-0.45,0.12-0.18,1.8-2.3,2.5-4.0,0.5-0.8,,,0.35-0.45,,Rem,,,,,,,,,,,,,,
474,,0.80,,0.60,0.30,14.0,,0.40,,,,,,,,,,,,,,,,,,,
475,,1.0,,0.9,0.05,14,0.75,4.5,,,,,Rem,,,,,,,,,,,,,,
476,,6.80,,0.80,0.03,19.5,,8.5,,,,,rem,,,,,,,,,,,,,,
477,,0.2,,1.2,3.7,32,,,,,,,Rem,,,,,,,,,,,,,,
478,,1.45,,1.6,1.8,5-7,1-1.5,,,,,,,,4.5,,,,,,,,,,,,
479,,3.00,,1.0,0.50,6.00,1.50,,,,,,,,,1.0,,,,,,,,,,,
480,,.1.30,,0.70,1.40,6.50,,,,,1.0,,,8.0,,1.2,,,,,,,,,,,
481,,0.1,,1.0,5.5,32,,,,,,,Rem,,,,,,,,,,,,,,
482,,0.90,,1.0,1.30,6.50,,,,,,,,6.50,,,,,,,,,,,,,
483,,0.7,,1.1,5,27,1.5,,,,,,,,,,,,,,,,,,,,
484,,0.50,,1.00,5.00,22.00,,,,,,,,7.00,,,,,,,,,,,,,
485,,0.40,,1.3,5.3,22.00,,,,,,,,7.00,,,,,,,,,,,,,
486,,0.20,,0.9-1.2,3.7,28-33,0.6,,,,,,,,,,,,,,,,,,,,
487,,1.1,,0.3,0.50,0.3,,1.5,,,,,,,,,,4.8,,,,,,,,,
488,,0.8,,0.6,1.8,8.2,,,,,,,,,,,,4.2,,,,,,,,,
489,,3,,0.9,0.5,6.50,0.7,,,,,,,,,0.4,,,,,,,,,,,
490,,,,,4.0,22.0,,,,,0.80,,,,,0.80,,1.0,,,,,,,,,
491,,1.2,,0.9,0.5,12.5,,,,,,,rem,,,,,,,,,,,,,,
492,,3.0,,1.0,0.5,6.5,1.5,,,,1.5,,rem,,,1.1,,,,,,,,,,,
493,,,,0.8,5.0,38,,,,,,,,,,,,2.0,,,,,,,,,
494,,,,0.8,5.4,22,,,,,,,,7,,,,,,,,,,,,,
495,,,,1.00,5.00,22.00,,,,,10.00,,,,,,,,,,,,,,,,
496,,0.7-0.9,,1.1-1.3,4.5-6.0,23-26,,,,,4.0-7.0,,Rest,,,1.0-3.0,,,,,,,,,,,
497,,0.4,,1.0,5.20,21.0,7.0,,,,1.0,,bal,7.0,,2.0,,,,,,,,,,,
498,,1.5,,1.2,0.5,,,3,,,,,,,,,,4.8,,,,,,,,,
499,,0.6,,1.1,4.0,19.0,0.30,,,,0.4,,rem,13.0,,,,,,,,,,,,,
500,,1.0,,0.25,0.18,,,,,,,,,,,,,,0.80,,,,,,,,
501,,13-14.5,,0.3-0.5,0.8-1.2,3.5-4.5,,0.4-0.7,,,,,Bal.,,,,,,,,,,,,,,
502,,0.2,,0.5,1.0,14,0.2,1.2,,,,,,,,,,,,,,,,,,,
503,,15-16.4,,0.3-0.5,0.4-0.5,14-15.5,0.5-0.6,1-1.5,,,0.2-0.3,,Bal.,,,,,,,,,,,,,,
504,,0.55,,0.20,0.20,,,,0.002,0.002,,,,,,,,,1.30,,,,,,,,
505,,0.55,,0.20,0.19,,,,0.009,0.006,,,,,,,,,0.6,,,,,,,,
506,,0.90,,0.38,0.15,,,,,,,,,,,,,,1.40,,,,,,,,
507,,0.40,,0.60,0.80,4.50,8.00,,,,1.50,,,,,2.00,,,,,,,,,,,
508,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,,,,,,,,,,,,,Bal.,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,,,,,,,,,,2.7-3.5,Rem,
511, 0.30,0.35-0.60,, 0.10,0.06-0.10, 0.15, 0.15, 0.15, 0.025, 0.025,,,,,,,,, 0.03,,,,,,,,
512,,0.50,,0.30,0.08,6.0,,,,,,,,,,,,,,,,,,,,,
513,0.3,1.00-1.20,,0.10-0.15,0.07-0.15,0.15,0.15,0.15,0.025,0.025,,,,,,,,,0.03,,,,,,,,
514,,1.0,,0.27,0.12,1.0,0.57,0.95,,,,,,,,,,,,,,,,,,,
515,0.20,0.95,,0.25,0.10,1.20,0.55,,,,,,,,,,,,,,,,,,,,
516,,0.95,,0.25,0.10,2.45,1.0,,,,,,,,,,,,,,,,,,,,
517,,0.95-1.35,,0.20,0.05-0.17,,0.45-0.65,,0.025,0.025,,,,,,,,,,,,,,,,,
518,,1.0,,0.20,0.08,,,0.90,,,,,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,,1.52,,0.15,0.12,,0.52,,,,,,,,,,,,,,,,,,,,
521,,1.75,,0.20,0.12,,0.55,0.90,,,,,,,,,,,,,,,,,,,
522,,1.60,,0.10,0.13,0.27,0.6,2.10,,,,,,,,,,,,,,,,,,,
523, 0.30,1.50-1.85,,0.20-0.35,0.08-0.10, 0.15, 0.15, 0.15, 0.025, 0.025,,,,,,,,, 0.03,,,,,,,,
524,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,,1.6-2.1,,0.5-0.8,0.05-0.15,,,0.35,0.025,0.025,,,,,,,,,,,,,,,,,
526,,1.4,,0.1,0.05,,0.4,1.4, 0.025, 0.020,0.13,,,,,,,,,,,,,,,,
527,,2.0,,0.9,0.03,21.5-23.5,2.5-3.5,7.5-9.5,,,,0.08-0.20,,,,,,,,,,,,,,,
528,,1.2,,0.6,0.025,25,3.7,9,,,,0.2,,,,0.4,,,,,,,,,,,
529,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,,1.7,,0.4,0.03,18-20,0.30,9-10,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,,1.0-2.5,,0.30-0.65,0.3,23-25,0.3,12-14,,,,,,,,,,,,,,,,,,,
533,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,,1.8,,0.3,0.015,22,2.9,14,,,,,,,,,,,,,,,,,,,
535,0.2,1.5-2.5,,0.1-0.5,0.05,20.5-21.5,0.3,10.5-11.5,0.03,0.03,,0.03-0.06,,0.4-0.7,,,,,,,,,,,,,
536,,1.8,,0.5,0.10,26,,21,,,,,,,,,,,,,,,,,,,
537,0.3,1.5-2.0,,0.3-0.6,0.02,18.0-19.2,2.5-3.0,12.0-13.0,,,,,,0.05,,,,,,0.2,,,,,,,
538,,2.0,,0.9,0.025,16-18,2.0-3.0,10-14,0.045,0.030,,,,,,,,,,,,,,,,,
539,0.3,1.5-2.5,,0.3-0.65,0.03,18.5-20.0,3.0-4.0,13.0-15.0,0.030,0.020,,,,,,,,,,,,,,,,,
540,,1.6,,0.5,0.035,19.0,2.75,12.5,,,,,,12x%C,,,,,,,,,,,,,
541,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,,1,,0.3,0.5,13,0.5,4,,,,,,,,,,,,,,,,,,,
544,,0.6,,0.50,0.25-0.40,12.0-14.0,,0.6,,,,,,,,,,,,,,,,,,,
545,,0.46,,0.40,0.021,17,0.03,0.40,0.023,0.0026,,0.0299,,,,,,,,,,,,,,,
546,,0.60,,0.40,0.08,8.70,1.00,0.18,,,,,,,,,,,,,,,,,,,
547,,1.85,,0.6,0.10,0.6,0.55,2.2, 0.015, 0.015,,,,,,,,,,,,,,,,,
548,1.6,2.05,,0.35,0.019,20.5,4.6,25.1,0.014,0.015,,0.04,,,,,,,,,,,,,,,
549,,0.50,,0.25,0.1,8.7,1.0,0.6,0.008,0.006,0.2,,,0.04,,,,,,,,,,,,,
550,1.5-2.8,0.1,,0.4,0.05,19.5-23.5,2.5-3.5,38-46,,,,,22,,0.6-1.2,,,,,,,,,,,,
551,1.5-3.0,1.0,,0.5,0.025,19.5-23.5,2.5-3.5,38-46,,,,,bal.,,1.0,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,0.45,1.40,,0.85,0.09,,,0.85,,,,,,,,,,,,,,,,,,,
