,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
56,,0.7,,0.8,0.03,13,0.5,4.7,,,,,,,,,,,,,,,,,,,
57,,0.7,,0.8,0.03,13,0.5,4.7,,,,,,,,,,,,,,,,,,,
58, 0.40, 0.60,, 0.50, 0.12,12-13.5, 0.75, 0.60,,,,,,,,,,,,,,,,,,,
59,,0.7,,0.4,0.18,16-17,0.8-1.5,0.15,,,,,,,,,,,,,,,,,,,
60,,0.35,,0.3,0.38,16-18,0.9-1.1,0.3,,,,,Rem,,,,,,,,,,,,,,
61,,,,0.3,0.30,1.00,0.20,,,,,,,,,,,,,,,,,,,,
62,,0.7,,0.8,0.07,17.5,,,,,,,,,,,,,,,,,,,,,
63,,0.4,,0.4,0.030,18.0,0.5,0.5,,,,,,0.5,,,,,,,,,,,,,
64,0.5,0.8,,0.5,0.030,18-19,0.5,0.5,0.03,0.015,,,,0.4-0.6,0.3-0.5,,,,,,,,,,,,
65,,0.6,,1.0,0.08,17.5,,,,,,,,,0.5,,,,,,,,,,,,
66,,0.5-1.0,,1.0,0.05,18-20,,9-11,,,,,,,,,,,,,,,,,,,
67,,0.5-2.0,,0.9,003,18-20,,9-11,,,,,,,,,,,,,,,,,,,
68,,0.7,,0.9,004,23,,13,,,,,Rem,,,,,,,,,,,,,,
69,,0.5-2.0,,,003,21-23,,11-13,,,,,Rem,,,,,,,,,,,,,,
70,,5-7,,1.1,0.10,17-19,,7-9,,,,,Rem,,,,,,,,,,,,,,
71,,5-7,,0.7,0.15,17-18,,7-9,,,,,Rem,,,,,,,,,,,,,,
72,,5-7,,0.7,0.10,17-19,,7-9,,,,,Rem,,,,,,,,,,,,,,
73,,0.5-2.0,,1.0,0.06,18-20,2.5-3.0,11-13,,,,,,,,,,,,,,,,,,,
74,,0.5-2.0,,0.7,0.025,18-20,2.5-3.0,11-13,,,,,Rem,,,,,,,,,,,,,,
75,,0.5-2.0,,0.6,0.03,18-20,2.5-3.0,11-13,,,,,Rem,,,,,,,,,,,,,,
76,,3.5,,0.8,0.03,18,4.5,17.5,,,,0.12,Rem,,,,,,,,,,,,,,
77,,2.5-4.0,,0.9,0.03,18-20,2.6-3.0,14-16.5,,,,,Rem,,,,,,,,,,,,,,
78,0.5-0.8,1.0-1.2,,0.80,0.02,24-26,2.5-3.5,8-10,,,,0.15-0.18,Rem,,,0.5-0.7,,,,,,,,,,,
79,,1.1,,0.35,0.03,21-23,2.8-3.3,9-10,,,,0.15,,,,,,,,,,,,,,,
80,0.7,1.20,,0.50,0.04,25.0,3.8,9.0,,,,0.2,Rem,,,0.8,,,,,,,,,,,
