,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
281,,0.6,,0.6,0.15,14.0,2.3,,,,,,69.35,,,,,,,13.0,,,,,,,
282,,1.0,,28.0,4.5,,,,,,,,,,,,,,,,,,,,,,
283,,0.6,,1.0,1.1,28.0,,,,,,,3.0,,,4.5,,,,61.8,,,,,,,
284,,1.0,,1.0,0.135,28.25,5.75,1.0,,0.01,,0.2,1.0,,0.1,0.2,,,,61.355,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,1.2,1.1,28.0,,,,,,,2.0,,,5.0,,,,62.699999999999996,,,,,,,
287,,0.6,,1.0,1.1,28.0,,,,,,,,,,4.5,,,,64.8,,,,,,,
288,,,,,3.85,30.0,,,,,,,66.15,,,,,,,,,,,,,,
289,,0.4,,1.7,0.6,9.0,,,,,,,,,,,,,,,,,,,,,
290,,,3.0,,4.5,32.0,,,,,,,60.5,,,,,,,,,,,,,,
291,,,,,5.75,24.0,,,,,,,64.25,6.0,,,,,,,,,,,,,
292,,,,,5.0,23.5,6.0,,,,1.0,,,6.0,,2.0,,,,,,,,,,,
293,,,,2.0,4.0,28.0,,,,,,,,,,,,,,,,,,,,,
294,,0.6,,,1.1,28.0,,,,,,,2.5,,,4.5,,,,63.3,,,,,,,
295,,,,,,,,,,,,,96.0,4.0,,,,,,,,,,,,,
296,,,,,4.0,25.0,2.0,,,,0.6,,,,,,,1.75,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,48.0,,,,,,,10.0,,,,,,,,,,,,,42.0,,,,,,
299,,1.25,,,0.125,2.75,,,,,,,95.875,,,,,,,,,,,,,,
300,,1.0,,,0.15,3.0,,,,,,,95.85,,,,,,,,,,,,,,
301,,0.6,,0.4,0.1,6.5,3.25,,,,,,,,,,,,,,,,,,,,
302,,1.0,,,0.15,3.0,,,,,,,95.85,,,,,,,,,,,,,,
303,,0.6,,,0.65,8.5,0.75,,,,1.1,,88.4,,,,,,,,,,,,,,
304,,,,,0.6,8.7,0.5,,,,1.4,,88.8,,,,,,,,,,,,,,
305,,13.0,,,0.8,,,3.0,,,,,83.2,,,,,,,,,,,,,,
306,,17.0,,,0.55,14.0,,,,,,,68.45,,,,,,,,,,,,,,
307,,,,2.0,2.0,-53.19999999999999,,40.0,,,,,0.6,,,0.6,,9.0,,99.0,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,1.5,,,0.9,4.5,8.0,,,,1.5,,81.6,,,2.0,,,,,,,,,,,
313,,,,,5.5,,,,,,,,0.5,,0.5,85.5,,,,8.0,,,,,,,
314,,0.7,,,0.1,13.0,0.75,4.0,,,,,81.45,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,
316,0.5,2.0,,0.2,0.02,2.15,29.5,57.56,0.04,0.03,,,2.0,,,3.0,,,,3.0,,,,,,,
317,,0.4,,0.14,0.012,15.5,16.1,59.1,0.012,0.004,,,5.5,,,3.25,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,0.1,1.2,,0.3,,,,,,,,,0.35,,,,,,97.8,,0.05,,0.2,,,,
320,0.23,0.04,,11.8,,,,,,,,,0.8,,,,,,87.01,,0.08,,0.04,,,,
321,0.23,0.04,,5.25,,,,,,,,,0.8,,0.2,,,,93.3592,,0.08,,0.04,0.0008,,,
322,0.4,1.0,,0.5,0.06,,,0.7,,,,,,,,,,,,,,,,,,,
323,,0.9,,0.6,0.06,5.2,0.5,,,,,,,,,,,,,,,,,,,,
324,89.0,1.0,,,,,,,,,,,0.7,,,,,,8.0,,,,,,,,
325,1.0,2.7,,0.25,,,,,,,,,0.1,,,,,,,,,,,,,0.7,
326,1.0,12.5,,0.4,,,,2.5,,,,,,,,,,,8.0,,,,,,,,
327,1.0,1.75,,0.5,0.05,,,,0.02,0.015,,,0.575,,0.5,,,,,,,,,,,,29.0
328,0.5,1.4,0.5,0.75,0.1,23.5,9.0,46.205,0.03,0.015,,,5.0,,,,1.0,,,12.0,,,,,,,
329,,0.35,,,0.014,21.2,13.1,58.11900000000001,0.012,0.005,,,3.9,,,3.3,,,,,,,,,,,
330,0.35,0.8,,0.18,0.01,22.0,16.0,52.839999999999996,0.01,0.01,,,4.0,,,3.8,,,,,,,,,,,
331,,,,,0.6,24.5,9.5,62.4,,,,,,3.0,,,,,,,,,,,,,
332,1.75,2.25,,0.4,0.03,24.0,4.5,46.07,,,,,21.0,,,,,,,,,,,,,,
333,0.5,2.25,0.5,0.75,0.1,15.0,1.5,,0.03,0.015,,,12.0,,,,1.75,,,,,,,,,,62.0
334,,5.0,,,0.045,19.5,,69.055,,,,,4.0,2.4,,,,,,,,,,,,,
335,1.0,4.0,,1.0,0.15,,,,,,,,2.5,,1.0,,,,0.75,,,,,,,,65.0
336,0.25,0.75,,1.25,0.1,,,,0.03,0.02,,,0.75,,2.5,,,,1.0,,,,,,,,
337,,1.6,,0.6,0.08,0.3,0.3,1.5,,,0.1,,,,,,,,,,,,,,,,
338,,1.6,,0.6,0.08,0.3,0.3,1.5,,,0.1,,,,,,,,,,,,,,,,
339,0.3,1.7000000000000002,,0.7,0.09,0.6000000000000001,0.275,0.55,0.015,0.015,0.03,,,,,,,,,,,,,,,,
340,,1.6,,0.45,0.07,0.3,0.4,2.1,,,,,,,,,,,,,,,,,,,
341,,1.6,,0.45,0.07,0.3,0.4,2.1,,,,,,,,,,,,,,,,,,,
342,0.25,1.6,,0.425,0.1,0.6,0.475,2.4,,,,,,,0.1,,,,0.1,,,0.1,,,,,
343,0.25,1.6,,0.425,0.1,0.6,0.475,2.4,,,,,,,0.1,,,,0.1,,,0.1,,,,,
344,3.5,0.55,,0.45,0.03,16.7,0.2,4.7,,,,,,0.24,,,,,,,,,,,,,
345,3.5,0.55,,0.45,0.03,16.7,0.2,4.7,,,,,,0.24,,,,,,,,,,,,,
346,0.15,0.55,,0.48,0.04,1.35,0.55,,,,,,,,,,,,,,,,,,,,
347,0.2,0.55,,0.55,0.09,1.35,0.5,,,,,,,,,,,,,,,,,,,,
348,,0.55,,0.55,0.09,1.35,0.5,,,,,,,,,,,,,,,,,,,,
349,0.12,0.5,,0.4,0.07,9.0,1.0,,0.008,0.008,,,,,,,,,,,,,,,,,
350,0.12,1.8,,0.7,0.08,,0.5,,0.01,0.01,,,,,,,,,,,,,,,,,
351,,0.45,,0.4,0.1,8.8,0.42,0.5,,,0.2,,,0.05,,1.6,,,,,,,,,,,
352,,0.45,,0.4,0.1,8.8,0.42,0.5,,,0.2,,,0.05,,1.6,,,,,,,,,,,
353,0.35,0.55,0.5,0.55,0.09,2.5,1.1,0.2,0.025,0.025,,,,,,,,,,,,,,,,,
354,0.35,0.55,0.5,0.55,0.09,2.5,1.1,0.2,0.025,0.025,,,,,,,,,,,,,,,,,
355,0.1,0.8,0.5,0.32,0.1,9.0,1.0,0.6,0.008,0.008,0.2,,,,,,,,0.02,,,,,,,,
356,0.1,0.8,0.5,0.32,0.1,9.0,1.0,0.6,0.008,0.008,0.2,,,,,,,,0.02,,,,,,,,
357,,,,,0.08,,,,,,,0.05,0.25,,0.62,,,,,,,,,,,,
358,,,,,0.03,,,,,,,0.012,0.08,,,,,,,,,,,,,,
359,,,,,0.03,,,,,,0.75,0.015,0.15,,,,,,0.30000000000000004,,,,,,,,
360,,,,,0.08,,,,,,,0.05,0.25,,0.62,,,,,,,,,,,,
361,,,,,0.05,,,,,,4.0,0.03,0.22,,,,,,6.1,,,,,,,,
362,,,,,0.03,,,,,,,0.015,0.12,,,,,,,,,,,,,,
363,,53.0,,,,,,,,,,,43.0,,,,,,,,,,,,,,
364,,,,,,,,,0.015,0.015,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,0.3,0.8,,0.3,0.045,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,0.05,1.6,,0.7,0.025,21.0,,10.0,,,,0.75,,1.6,,,,,,,,,,,,,
372,,2.05,,0.37,0.022,19.91,0.031,10.62,,,,,,0.52,,,,,,,,,,,,,
373,22.5,1.25,,0.55,0.03,19.25,,9.5,,,,0.55,1.45,0.03,,,,,,,,,,,,,
374,,0.5,,0.5,0.04,21.25,9.0,60.46,,,,,5.0,3.25,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,0.11,,,,21.74,8.63,64.87,,,,,0.36,3.63,,,,,,,,,,,,,
377,,1.6,,1.0,0.03,19.5,,10.0,,,1.6,1.0,,0.06,,19.5,,,,,,,,,,,
378,,,,,,,,,0.024,0.024,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,0.015,0.015,,,,,,,,,,,,,,,,,
382,,1.75,,0.9,0.09,,,,,0.025,,,,,,,,,,,,,,,,,
383,,0.5,,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,
384,,1.0,,0.08,0.1,,,,,,,,,,,,,,,,,,,,,,
385,,1.1,,0.1,0.09,,,0.4,,,,,,,,,,,,,,,,,,,
386,,1.0,,0.2,0.11,,0.5,,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,0.6,,3.7,3.2,,,0.6,,,,,,,,,,,,,,,,,,,
389,,0.7,,0.1,0.2,,,,,,,,99.0,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,0.5,1.0,0.5,0.75,0.1,21.5,9.0,,0.03,0.02,,,7.0,,,,7.3,,,,,,,,,,55.0
393,0.5,7.25,0.5,1.0,0.1,15.0,,59.0,0.03,0.015,,,10.0,1.75,1.0,,,,,,,,,,,,
394,1.0,,,,,,,,5.0,,,,,,,,,,,,,,,,15.0,,
395,75.0,,,,,,,,7.0,,,,,,,,,,,,,,,,18.0,,
396,1.0,,,,,,,,6.35,,,,,,,,,,,,,,,,17.6,,
397,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,38.0,9.5,,,,,,5.5,,,,,,,,,,,,,20.0,,,,27.0,,
400,92.0,,,,,,,,6.0,,,,,,,,,,,,,,,,2.0,,
401,36.0,,,,,,,,,,,,,,,,,,,,32.0,,,,30.0,2.0,
402,36.0,,,0.15,,,,,,,,,,,,,,,,,27.5,,,,34.0,2.5,
403,30.0,,,,,,,,,,,,,,,,,,,,28.0,,,,40.0,2.0,
404,27.0,,,,,,,,,,,,,,,,,,,,25.0,,,,45.0,3.0,
405,16.0,7.5,,,,,,4.5,,,,,,,,,,,,,23.0,,,,49.0,,
406,22.0,,,,,,,,,,,,,,,,,,,,17.0,,,,55.0,5.0,
407,89.0,,,0.02,,,,,6.0,,,,,,,,,,,,,,,,5.0,,
408,23.0,,,,,,,,,,,,,,,,,,,,14.0,,,,60.0,3.0,
409,1.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
410,1.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
411,86.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,7.0,
412,,0.9,,0.7,0.07,6.0,0.9,,,,,,,,,,,,,,,,,,,,
413,,0.9,,0.4,0.35,17.5,,,,,,,,,,,,,,,,,,,,,
414,,0.9,,0.4,0.35,17.5,,,,,,,,,,,,,,,,,,,,,
415,,1.9,,0.35,1.1,1.8,,,,,,,,,,,,,,,,,,,,,
416,,0.5,,3.0,0.5,9.15,,,,,,,,,,,,,,,,,,,,,
417,,0.5,,3.0,0.5,9.15,,,,,,,,,,,,,,,,,,,,,
418,,0.5,,3.0,0.5,9.15,,,,,,,,,,,,,,,,,,,,,
419,,0.5,,3.0,0.5,9.15,,,,,,,,,,,,,,,,,,,,,
420,,,5.0,,0.38,17.0,0.8,,,,,,,,,,,,,,,,,,,,
421,,0.4,,1.1,0.35,5.2,1.4,,,,0.4,,,,,1.3,,,,,,,,,,,
422,,0.5,,1.0,0.4,6.0,1.0,1.6,,,,,,,,,,,,,,,,,,,
423,,0.3,,0.3,1.0,4.0,8.3,,,,1.9,,,,,1.8,,,,,,,,,,,
424,,0.45,,0.95,0.38,5.2,1.1,,,,0.45,,,,,,,,,,,,,,,,
425,,0.45,,0.95,0.38,5.2,1.1,,,,0.45,,,,,,,,,,,,,,,,
426,,0.6,,0.3,0.25,5.0,3.6,,,,,,,,0.6,,,,,,,,,,,,
427,,0.6,,0.3,0.25,5.2,3.8,,,,,,,,0.6,,,,,,,,,,,,
428,0.05,0.325,0.3,0.05,,,,0.005,,,,,0.005,,,,,,9.0,,2.0,,88.2645,0.0005,,,
429,,1.3,,0.5,0.05,,,0.9,0.015,0.015,,,,,,,,,,,,,,,,,
430,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,
431,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,
432,,12.0,,0.08,0.25,,,42.0,,,,,45.0,,,,,,0.3,,,,,,,,
433,0.25,0.35,,0.35,0.15,,,,,0.01,,,0.4,,,,,,,,,,,,,,99.0
434,0.25,0.35,,0.35,0.15,,,,,0.01,,,0.4,,,,,,,,,,,,,,99.0
435,,,,4.25,0.7,16.0,,72.05,,,,,4.0,,,,,3.0,,,,,,,,,
436,,,,1.0,0.15,22.0,9.0,51.75,,,,,3.0,,0.6,,,,,12.5,,,,,,,
437,,,,1.0,0.15,22.0,9.0,51.75,,,,,3.0,,0.6,,,,,12.5,,,,,,,
438,,,,,0.01,23.0,16.0,59.989999999999995,,,,,1.0,,,,,,,,,,,,,,
439,,,,,0.01,23.0,16.0,59.989999999999995,,,,,1.0,,,,,,,,,,,,,,
440,0.1,0.2,,0.03,0.003,21.0,13.5,56.0,,,0.15,,4.0,,,3.0,,,,1.5,,,,,,,
441,0.1,0.2,,0.03,0.003,21.0,13.5,56.0,,,0.15,,4.0,,,3.0,,,,1.5,,,,,,,
442,,1.0,,0.08,0.01,21.0,16.0,,,,,,5.0,,0.25,3.7,,,0.5,,,,,,,,52.46000000000001
443,,1.0,,0.08,0.01,21.0,16.0,,,,,,5.0,,0.25,3.7,,,0.5,,,,,,,,52.46000000000001
444,0.3,1.0,,0.5,0.04,29.75,,58.0,,0.015,,0.014,9.0,,1.0,,,,1.1,0.12,,,,,,,
445,0.5,1.0,,0.5,0.05,29.0,,58.0,,0.015,,0.014,9.0,,1.0,,,,1.1,0.12,,,,,,,
446,0.3,1.0,,0.5,0.04,29.75,,57.135999999999996,,0.015,,0.014,9.0,,1.0,,,0.005,1.1,0.12,,0.02,,,,,
447,0.5,3.0,,0.5,0.1,20.0,,67.0,0.03,0.015,,,3.0,,0.75,,2.5,,,0.12,,,,,,,
448,0.5,3.0,,0.5,0.1,20.0,,67.0,0.03,0.015,,,3.0,,0.75,,2.5,,,0.12,,,,,,,
449,0.1,1.0,,0.27,0.1,23.0,,60.5,0.03,0.015,,,13.635000000000005,,,,,,1.35,,,,,,,,
450,0.1,0.5,,0.5,0.2,25.0,,60.86500000000001,0.02,0.01,,,9.5,,0.15000000000000002,,,,2.1,1.0,,0.055,,,,,
451,,0.07,,0.04,0.17,25.0,,61.0,,,,,9.7,,0.14,,,,2.3,,,0.09,,,,,
452,,0.02,,0.2,0.02,22.19,9.0,64.05799999999999,,,,,0.7,,0.162,,3.65,,,,,,,,,,
453,,0.02,,0.2,0.02,22.0,9.0,64.41,,,,,0.7,,0.15,,3.5,,,,,,,,,,
454,0.05,0.1,,0.15,0.07,17.5,3.0,52.0,0.008,0.001,,,20.766000000000005,,0.9,,5.0,0.005,0.4,0.05,,,,,,,
455,0.05,0.1,,0.15,0.07,17.5,3.0,52.0,0.008,0.001,,,20.766000000000005,,0.9,,5.0,0.005,0.4,0.05,,,,,,,
456,,0.5,,0.3,,37.5,0.5,55.0,,,,,1.0,,,,0.625,,0.975,1.0,,,,,,,
457,0.2,0.1,,0.1,0.01,37.5,,55.0,,0.008,,,0.2,,0.6,,,,,,,,,,,,
458,0.5,2.35,,0.35,0.08,15.5,,,,,,,8.0,,3.0,,,,,,,,,,,,67.0
459,0.3,1.0,,0.5,0.15,29.0,,59.5461,,,,,4.25,,0.5039,,1.5,,3.25,,,,,,,,
460,1.0,4.0,,1.25,0.15,,,65.5,,,,,2.5,,2.25,,,,,,,,,,,,
461,1.0,4.0,,1.25,0.15,,,65.5,,,,,2.5,,2.25,,,,,,,,,,,,
462,,54.0,,,,,,,,,,,42.0,,,,,,,,,,,,,,
463,,11.0,,,1.5,,,44.0,,,,,45.0,,,,,,,,,,,,,,
464,,,,,1.5,,,55.0,,,,,43.5,,,,,,,,,,,,,,
465,0.4,0.7,,0.1,0.03,,,55.0,,,,,43.769999999999996,,,,,,,,,,,,,,
466,0.4,1.0,,0.2,0.1,,,60.0,,,,,38.3,,,,,,,,,,,,,,
467,0.6,1.1,,1.2,1.1,,,54.0,,,,,43.0,,,,,,,,,,,,,,
468,,0.4,,36.0,0.2,62.0,,1.6,,,,,,,,,,,,,,,,,,,
469,0.25,1.0,,0.75,0.15,,,,0.03,0.015,,,1.0,,2.75,,,,1.5,,,,,,,,93.0
470,0.25,1.0,,0.75,0.15,,,,0.03,0.015,,,1.0,,2.75,,,,1.5,,,,,,,,93.0
471,,2.0,,0.5,0.12,1.5,0.4,,,,,,,,,,,,,,,,,,,,
472,,1.5,,0.4,0.12,1.2,0.4,2.4,,,,,,,,,,,,,,,,,,,
473,,1.5,,0.4,0.15,2.05,3.25,0.65,,,0.4,,91.6,,,,,,,,,,,,,,
474,,0.8,,0.6,0.3,14.0,,0.4,,,,,,,,,,,,,,,,,,,
475,,1.0,,0.9,0.05,14.0,0.75,4.5,,,,,78.8,,,,,,,,,,,,,,
476,,6.8,,0.8,0.03,19.5,,8.5,,,,,64.37,,,,,,,,,,,,,,
477,,0.2,,1.2,3.7,32.0,,,,,,,62.9,,,,,,,,,,,,,,
478,,1.45,,1.6,1.8,6.0,1.25,,,,,,,,4.5,,,,,,,,,,,,
479,,3.0,,1.0,0.5,6.0,1.5,,,,,,,,,1.0,,,,,,,,,,,
480,,1.3,,0.7,1.4,6.5,,,,,1.0,,,8.0,,1.2,,,,,,,,,,,
481,,0.1,,1.0,5.5,32.0,,,,,,,61.4,,,,,,,,,,,,,,
482,,0.9,,1.0,1.3,6.5,,,,,,,,6.5,,,,,,,,,,,,,
483,,0.7,,1.1,5.0,27.0,1.5,,,,,,,,,,,,,,,,,,,,
484,,0.5,,1.0,5.0,22.0,,,,,,,,7.0,,,,,,,,,,,,,
485,,0.4,,1.3,5.3,22.0,,,,,,,,7.0,,,,,,,,,,,,,
486,,0.2,,1.05,3.7,30.5,0.6,,,,,,,,,,,,,,,,,,,,
487,,1.1,,0.3,0.5,0.3,,1.5,,,,,,,,,,4.8,,,,,,,,,
488,,0.8,,0.6,1.8,8.2,,,,,,,,,,,,4.2,,,,,,,,,
489,,3.0,,0.9,0.5,6.5,0.7,,,,,,,,,0.4,,,,,,,,,,,
490,,,,,4.0,22.0,,,,,0.8,,,,,0.8,,1.0,,,,,,,,,
491,,1.2,,0.9,0.5,12.5,,,,,,,84.9,,,,,,,,,,,,,,
492,,3.0,,1.0,0.5,6.5,1.5,,,,1.5,,84.9,,,1.1,,,,,,,,,,,
493,,,,0.8,5.0,38.0,,,,,,,,,,,,2.0,,,,,,,,,
494,,,,0.8,5.4,22.0,,,,,,,,7.0,,,,,,,,,,,,,
495,,,,1.0,5.0,22.0,,,,,10.0,,,,,,,,,,,,,,,,
496,,0.8,,1.2000000000000002,5.25,24.5,,,,,5.5,,60.75,,,2.0,,,,,,,,,,,
497,,0.4,,1.0,5.2,21.0,7.0,,,,1.0,,55.4,7.0,,2.0,,,,,,,,,,,
498,,1.5,,1.2,0.5,,,3.0,,,,,,,,,,4.8,,,,,,,,,
499,,0.6,,1.1,4.0,19.0,0.3,,,,0.4,,61.6,13.0,,,,,,,,,,,,,
500,,1.0,,0.25,0.18,,,,,,,,,,,,,,0.8,,,,,,,,
501,,13.75,,0.4,1.0,4.0,,0.55,,,,,80.3,,,,,,,,,,,,,,
502,,0.2,,0.5,1.0,14.0,0.2,1.2,,,,,,,,,,,,,,,,,,,
503,,15.7,,0.4,0.45,14.75,0.55,1.25,,,0.25,,66.65,,,,,,,,,,,,,,
504,,0.55,,0.2,0.2,,,,0.002,0.002,,,,,,,,,1.3,,,,,,,,
505,,0.55,,0.2,0.19,,,,0.009,0.006,,,,,,,,,0.6,,,,,,,,
506,,0.9,,0.38,0.15,,,,,,,,,,,,,,1.4,,,,,,,,
507,,0.4,,0.6,0.8,4.5,8.0,,,,1.5,,,,,2.0,,,,,,,,,,,
508,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,,,,,,,,,,3.1,96.9,
511,0.3,0.475,,0.1,0.08,0.15,0.15,0.15,0.025,0.025,,,,,,,,,0.03,,,,,,,,
512,,0.5,,0.3,0.08,6.0,,,,,,,,,,,,,,,,,,,,,
513,0.3,1.1,,0.125,0.11,0.15,0.15,0.15,0.025,0.025,,,,,,,,,0.03,,,,,,,,
514,,1.0,,0.27,0.12,1.0,0.57,0.95,,,,,,,,,,,,,,,,,,,
515,0.2,0.95,,0.25,0.1,1.2,0.55,,,,,,,,,,,,,,,,,,,,
516,,0.95,,0.25,0.1,2.45,1.0,,,,,,,,,,,,,,,,,,,,
517,,1.15,,0.2,0.11000000000000001,,0.55,,0.025,0.025,,,,,,,,,,,,,,,,,
518,,1.0,,0.2,0.08,,,0.9,,,,,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,,1.52,,0.15,0.12,,0.52,,,,,,,,,,,,,,,,,,,,
521,,1.75,,0.2,0.12,,0.55,0.9,,,,,,,,,,,,,,,,,,,
522,,1.6,,0.1,0.13,0.27,0.6,2.1,,,,,,,,,,,,,,,,,,,
523,0.3,1.675,,0.275,0.09,0.15,0.15,0.15,0.025,0.025,,,,,,,,,0.03,,,,,,,,
524,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,,1.85,,0.65,0.1,,,0.35,0.025,0.025,,,,,,,,,,,,,,,,,
526,,1.4,,0.1,0.05,,0.4,1.4,0.025,0.02,0.13,,,,,,,,,,,,,,,,
527,,2.0,,0.9,0.03,22.5,3.0,8.5,,,,0.14,,,,,,,,,,,,,,,
528,,1.2,,0.6,0.025,25.0,3.7,9.0,,,,0.2,,,,0.4,,,,,,,,,,,
529,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,,1.7,,0.4,0.03,19.0,0.3,9.5,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,,1.75,,0.475,0.3,24.0,0.3,13.0,,,,,,,,,,,,,,,,,,,
533,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,,1.8,,0.3,0.015,22.0,2.9,14.0,,,,,,,,,,,,,,,,,,,
535,0.2,2.0,,0.3,0.05,21.0,0.3,11.0,0.03,0.03,,0.045,,0.55,,,,,,,,,,,,,
536,,1.8,,0.5,0.1,26.0,,21.0,,,,,,,,,,,,,,,,,,,
537,0.3,1.75,,0.44999999999999996,0.02,18.6,2.75,12.5,,,,,,0.05,,,,,,0.2,,,,,,,
538,,2.0,,0.9,0.025,17.0,2.5,12.0,0.045,0.03,,,,,,,,,,,,,,,,,
539,0.3,2.0,,0.475,0.03,19.25,3.5,14.0,0.03,0.02,,,,,,,,,,,,,,,,,
540,,1.6,,0.5,0.035,19.0,2.75,12.5,,,,,,12.0,,,,,,,,,,,,,
541,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,,1.0,,0.3,0.5,13.0,0.5,4.0,,,,,,,,,,,,,,,,,,,
544,,0.6,,0.5,0.325,13.0,,0.6,,,,,,,,,,,,,,,,,,,
545,,0.46,,0.4,0.021,17.0,0.03,0.4,0.023,0.0026,,0.0299,,,,,,,,,,,,,,,
546,,0.6,,0.4,0.08,8.7,1.0,0.18,,,,,,,,,,,,,,,,,,,
547,,1.85,,0.6,0.1,0.6,0.55,2.2,0.015,0.015,,,,,,,,,,,,,,,,,
548,1.6,2.05,,0.35,0.019,20.5,4.6,25.1,0.014,0.015,,0.04,,,,,,,,,,,,,,,
549,,0.5,,0.25,0.1,8.7,1.0,0.6,0.008,0.006,0.2,,,0.04,,,,,,,,,,,,,
550,2.15,0.1,,0.4,0.05,21.5,3.0,42.0,,,,,22.0,,0.8999999999999999,,,,,,,,,,,,
551,2.25,1.0,,0.5,0.025,21.5,3.0,42.0,,,,,28.724999999999994,,1.0,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,0.45,1.4,,0.85,0.09,,,0.85,,,,,,,,,,,,,,,,,,,
554,,0.4,,0.7,0.15,14.5,2.5,0.5,,,,,,,,,,,,12.5,,,,,,,
555,0.5,3.0,,0.5,0.1,20.0,,67.0,,,,,3.0,2.5,0.75,,,,,,,,,,,,
556,,62.14,,0.08,,0.18,,25.3,,,,,0.13,,0.04,,,,9.58,,,2.23,,,,,
557,,0.5,,0.6,0.04,21.25,9.0,63.86,,,,,0.7,,0.4,,3.6500000000000004,,,,,,,,,,
558,,0.02,,0.02,0.02,22.2,9.0,64.22800000000001,,,,,0.7,,0.162,,3.65,,,,,,,,,,
559,,0.8,,0.06,0.075,2.3,1.0,,,,0.15,,,0.035,,,,0.002,,,,,,,,,
560,,75.0,,1.51,,0.757,0.169,0.036,,,,,,,0.011,,,,,,,,,,,,
561,,0.775,,0.275,0.215,11.45,0.8775,0.525,,,0.3,,,,,0.5,,,,,,,,,,,
562,,1.0,,0.8,0.08,25.0,,4.0,0.02,0.008,,,,,,,,,,,,,,,,,
563,,1.4,,0.3,0.07,4.0,0.5,,,,,,,0.1,,,,,,,,,,,,,
564,,0.6,,0.5,0.060000000000000005,13.0,1.1,4.0,,,,,,,,,,,,,,,,,,,
565,,1.0,,0.3,0.08,13.5,0.5,4.3,,,,0.1,,,,,,,,,,,,,,,
566,,1.1,,1.1,0.07,15.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
567,,1.5,,0.7,0.1,12.25,1.25,3.5,,,0.15,,,2.0,,,,,,,,,,,,,
568,,1.5,,0.3,0.05,,,,0.025,0.02,,,,,,,,,,,,,,,,,
569,,0.7,,0.4,0.07,25.0,,4.0,0.025,0.025,,,,,,,,,,,,,,,,,
570,,1.2,,0.2,0.13,,,1.0,0.012,0.005,,,,,,,,,,,,,,,,,
571,,1.2,,0.3,0.06,,0.5,0.9,0.015,0.015,,,,,,,,,,,,,,,,,
572,,1.6,,0.4,0.08,0.5,0.5,2.2,0.015,0.015,,,,,,,,,,,,,,,,,
573,,1.6,,0.4,0.08,1.0,0.5,2.2,0.015,0.015,,,,,,,,,,,,,,,,,
574,,1.1,,0.3,0.09,2.3,1.1,,0.015,0.015,,,,,,,,,,,,,,,,,
575,,16.0,,0.4,0.5,15.0,0.5,1.2,,,0.2,,66.2,,,,,,,,,,,,,,
