,Elong %,Hydrogen Ml/100gm,Moisture,YS(Kgf/mm2),UTS,Hardness,Ferrite (Fn),Hardness_Scale,V,C,Cr,Mn,Mo,Ni,P ,S ,Si ,Cb,UTS(Kg/mm2),Cu
56,22.0,,,165.0,,,,HRC,,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
57,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.375,0.15,0.15,0.0225,0.0225,0.2,,475.0,
58,22.0,,,165.0,,,,HRC,,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
59,22.0,,,165.0,,,,HRC,,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
60,22.0,,,165.0,,,,HRC,,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
61,8.5,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
62,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
63,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
64,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
65,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
66,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
67,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
68,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
69,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
70,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
71,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
72,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
73,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
74,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
75,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
76,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
77,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
78,8.5,,,165.0,,,,HRC,0.04,0.1,0.1,0.6,0.15,0.15,,,0.5,,215.0,
79,11.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,
80,11.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,
81,11.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,
82,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
83,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
84,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
85,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
86,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
87,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
88,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
89,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
90,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
91,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
92,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
93,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
94,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
95,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.375,0.15,0.15,0.0225,0.0225,0.2,,475.0,
96,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
97,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.375,0.15,0.15,0.0225,0.0225,0.2,,475.0,
98,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
99,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
100,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
101,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
102,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
103,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.375,0.15,0.15,0.0225,0.0225,0.2,,475.0,
104,11.0,,,165.0,,,,HRC,0.04,0.06,0.1,0.325,0.15,0.15,0.0175,0.0175,0.175,,475.0,
105,26.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,
106,26.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,
107,26.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,
108,26.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,
109,26.0,,,165.0,,,,HRC,,0.06,,0.375,,,0.0225,0.0225,0.2,,475.0,
110,15.0,,,,550.0,,,HRC,,0.05,20.0,3.0,,33.5,0.015,0.0075,0.25,,,0.25
111,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25
112,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25
113,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25
114,,,,,,,,HRC,,,,,,,,,,,,
115,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.225,0.15,0.25,0.015,0.015,0.6,,580.0,0.175
116,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.275,0.15,0.25,0.015,0.015,0.6,,580.0,0.175
117,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.275,0.15,0.25,0.015,0.015,0.6,,580.0,0.175
118,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.225,0.15,0.25,0.015,0.015,0.6,,580.0,0.175
119,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.225,0.15,0.25,0.015,0.015,0.6,,580.0,0.175
120,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.225,0.15,0.25,0.015,0.015,0.6,,580.0,0.175
121,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.225,0.15,0.25,0.015,0.015,0.6,,580.0,0.175
122,28.5,,,470.0,,,,HRC,0.04,0.05,0.1,1.275,0.15,0.25,0.015,0.015,0.6,,580.0,0.175
123,59.5,,,535.0,,,,HRC,,0.08499999999999999,1.25,0.625,0.525,,0.015,0.015,0.4,,620.0,
124,27.0,,,535.0,,,,HRC,0.025,0.075,0.075,1.125,0.175,1.5,0.015,0.015,0.4,,620.0,
125,24.5,,,510.0,,,,HRC,,0.08499999999999999,1.25,0.875,0.525,,0.015,0.015,0.5,,620.0,
126,24.5,,,735.0,,,,HRC,,0.06,0.575,0.9,,0.6000000000000001,0.015,0.015,0.575,,620.0,0.525
127,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25
128,,,,,,,,HRC,0.015,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25
129,,,,,,,,HRC,0.015,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25
130,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25
131,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25
132,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25
133,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25
134,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25
135,,,,,,,,HRC,,0.035,0.075,1.15,0.075,0.075,0.0125,0.0175,0.55,,,0.25
136,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25
137,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25
138,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25
139,,,,,,,,HRC,0.015,0.105,0.075,1.625,0.075,0.075,0.0125,0.0175,0.975,,,0.25
140,8.5,,,235.0,,,,HRC,,0.095,,1.85,0.5,0.075,0.0125,0.0125,0.65,,275.0,0.25
141,8.5,,,235.0,,,,HRC,,0.095,,1.85,0.5,0.075,0.0125,0.0125,0.65,,275.0,0.25
142,12.0,,,235.0,,,,HRC,0.025,0.06,0.075,0.625,0.175,0.075,0.0125,0.0125,0.6000000000000001,,275.0,0.175
143,12.0,,,235.0,,,,HRC,0.025,0.06,0.075,0.625,0.175,0.075,0.0125,0.0125,0.6000000000000001,,275.0,0.175
144,8.5,,,270.0,,,,HRC,,0.095,,1.85,0.5,0.075,0.0125,0.0125,0.65,,310.0,0.25
145,9.5,,,200.0,,,,HRC,,0.06,,0.65,0.525,0.1,0.0125,0.0125,0.5,,257.5,0.175
146,9.5,,,200.0,,,,HRC,,0.06,,0.65,0.525,0.1,0.0125,0.0125,0.5,,257.5,0.175
147,9.5,,,200.0,,,,HRC,,0.06,,0.65,0.525,0.1,0.0125,0.0125,0.5,,257.5,0.175
148,9.5,,,200.0,,,,HRC,,0.06,,0.65,0.525,0.1,0.0125,0.0125,0.5,,257.5,0.175
149,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175
150,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175
151,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175
152,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175
153,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175
154,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175
155,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175
156,9.5,,,235.0,,,,HRC,,0.095,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,275.0,0.175
157,9.5,,,235.0,,,,HRC,,0.025,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,257.5,0.175
158,9.5,,,235.0,,,,HRC,,0.025,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,257.5,0.175
159,9.5,,,235.0,,,,HRC,,0.025,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,257.5,0.175
160,9.5,,,235.0,,,,HRC,,0.025,1.35,0.55,0.525,0.1,0.0125,0.0125,0.55,,257.5,0.175
161,8.5,,,270.0,,,,HRC,,0.095,2.5,0.55,1.05,0.1,0.0125,0.0125,0.55,,310.0,0.175
162,8.5,,,270.0,,,,HRC,,0.095,2.5,0.55,1.05,0.1,0.0125,0.0125,0.55,,310.0,0.175
163,8.5,,,270.0,,,,HRC,,0.095,2.5,0.55,1.05,0.1,0.0125,0.0125,0.55,,310.0,0.175
